"species","Biomass.sim","Yield.sim","target","F","Biochange","Yieldchange","Functional.group"
"SAP",25008.8264,3304.0282412,"all",0.9,0.0497291677009321,0.852124441853729,"low trophic"
"JFS",8361.18556,859.46937981,"all",0.9,-0.0418454062979231,0.739058702587927,"low trophic"
"JA",8782.949682,1317.968987746,"all",0.9,-0.126306568040786,0.680329040343157,"low trophic"
"SP",43644.68318,8541.253074,"all",0.9,0.000295043456356822,0.752090577642431,"low trophic"
"PCM",4363.446666,1048.04045238,"all",0.9,0.0962154112850581,0.972251583474683,"low trophic"
"BS",801.5010402,195.39440312,"all",0.9,-0.227832406571476,0.229315894542528,"middle trophic"
"SYC",26348.77084,10516.290664,"all",0.9,-0.175673591954922,0.563666272270358,"middle trophic"
"WC",4159.929654,659.57167044,"all",0.9,-0.155244074654317,0.374641218321029,"middle trophic"
"SC",2821.54548,1028.25759708,"all",0.9,-0.241592563735695,0.241580844634322,"high trophic"
"CM",2366.1744958,749.45290456,"all",0.9,-0.0932042425356442,0.404270187386841,"high trophic"
"LH",5303.47615,1706.0642278,"all",0.9,-0.384071655076448,0.115883679173827,"high trophic"
"JSM",3861.7132314,2710.3295188,"all",0.9,-0.111890127355655,0.628142252435248,"high trophic"
"SAP",22276.7294,2813.1454978,"all",0.8,-0.064948820942638,0.57695248182074,"low trophic"
"JFS",8926.578438,891.93459154,"all",0.8,0.0229460971814159,0.80474912776968,"low trophic"
"JA",9787.706678,1337.41005652,"all",0.8,-0.0263572776652121,0.705115202035875,"low trophic"
"SP",41418.5128,7856.238528,"all",0.8,-0.050726685532245,0.611571672372185,"low trophic"
"PCM",3775.2468486,852.51857728,"all",0.8,-0.0515562367044024,0.604309366269029,"low trophic"
"BS",985.7971144,231.48558456,"all",0.8,-0.0502812257797098,0.456382086247939,"middle trophic"
"SYC",24932.5929,9189.986502,"all",0.8,-0.2199789935815,0.366458230846523,"middle trophic"
"WC",3679.78481,613.61707938,"all",0.8,-0.252746973916849,0.27886531120843,"middle trophic"
"SC",3192.7253222,1100.78553332,"all",0.8,-0.141822577920725,0.329155491874626,"high trophic"
"CM",2159.1777378,658.54180622,"all",0.8,-0.172532196706587,0.233927602382909,"high trophic"
"LH",6163.6445796,1848.1710018,"all",0.8,-0.284174511728492,0.208831311052334,"high trophic"
"JSM",4331.807432,2893.4544418,"all",0.8,-0.00377870747315045,0.738148590241087,"high trophic"
"SAP",24736.87366,3026.0213302,"all",0.7,0.0383141289122991,0.696283342057214,"low trophic"
"JFS",8002.4938702,743.7625347,"all",0.7,-0.0829498750169058,0.504936346789723,"low trophic"
"JA",10344.7175932,1323.22956854,"all",0.7,0.029051986392989,0.687035955877146,"low trophic"
"SP",41506.08784,7526.709146,"all",0.7,-0.0487195480744887,0.543974409973291,"low trophic"
"PCM",4320.010876,880.789974,"all",0.7,0.0853031701041685,0.657511804038906,"low trophic"
"BS",672.93950482,136.72700253,"all",0.7,-0.351688828962493,-0.139787656455748,"middle trophic"
"SYC",29452.41196,10309.373474,"all",0.7,-0.0785755773322934,0.532899774700683,"middle trophic"
"WC",4547.4816068,685.5572916,"all",0.7,-0.0765439917833751,0.428798950575329,"middle trophic"
"SC",2558.47973356,822.21169381,"all",0.7,-0.312302399795653,-0.00721152737623466,"high trophic"
"CM",2082.06055,622.41588096,"all",0.7,-0.202086035127527,0.166237478659702,"high trophic"
"LH",6398.1038744,1792.4887224,"all",0.7,-0.256945177361049,0.172411259691325,"high trophic"
"JSM",3960.711154,2510.5849912,"all",0.7,-0.0891227629337078,0.508152228040625,"high trophic"
"SAP",23071.36198,2622.1752216,"all",0.6,-0.0315946369641588,0.469901121966408,"low trophic"
"JFS",8508.246528,773.2890562,"all",0.6,-0.0249928749155824,0.564680597577431,"low trophic"
"JA",12357.741472,1533.4468126,"all",0.6,0.229299716934937,0.955049955644338,"low trophic"
"SP",40103.53708,6526.175006,"all",0.6,-0.0808646908777442,0.338732108391118,"low trophic"
"PCM",3460.840022,700.18371632,"all",0.6,-0.13054370581173,0.317638493914361,"low trophic"
"BS",689.0258368,149.06010432,"all",0.6,-0.336191226802189,-0.0621944510344718,"middle trophic"
"SYC",23903.14573,7807.236786,"all",0.6,-0.252185448033258,0.160857305293728,"middle trophic"
"WC",4027.622828,600.595008,"all",0.6,-0.182111590339279,0.251725461410265,"middle trophic"
"SC",3735.341861,1192.59016592,"all",0.6,0.00402813438674341,0.440005996270154,"high trophic"
"CM",2322.5204718,702.78407554,"all",0.6,-0.109933897863141,0.316825539598711,"high trophic"
"LH",5635.823362,1610.749817,"all",0.6,-0.345473938703741,0.053541480287832,"high trophic"
"JSM",3865.5001732,2228.6053272,"all",0.6,-0.111019213282502,0.338762121744929,"high trophic"
"SAP",24125.64564,2579.7276944,"all",0.5,0.0126582316523585,0.446106500103606,"low trophic"
"JFS",7401.9136506,625.78454928,"all",0.5,-0.151773690989762,0.266218543598411,"low trophic"
"JA",10723.553,1248.2300492,"all",0.5,0.0667370487807523,0.591416201899241,"low trophic"
"SP",46464.76084,7439.377624,"all",0.5,0.0649285680904106,0.526059856277048,"low trophic"
"PCM",3470.27347,658.2217641,"all",0.5,-0.12817376941266,0.23867252793123,"low trophic"
"BS",817.40714536,164.698938782,"all",0.5,-0.212508435264897,0.0361966362703633,"middle trophic"
"SYC",32329.18646,10022.000798,"all",0.5,0.0114248710658785,0.4901703584654,"middle trophic"
"WC",3380.0018436,475.0756466,"all",0.5,-0.313623829596511,-0.00987474916680486,"middle trophic"
"SC",3343.8028612,1013.186624,"all",0.5,-0.101214219897692,0.22338323390014,"high trophic"
"CM",2912.940694,787.36687934,"all",0.5,0.116334517066717,0.475310627880094,"high trophic"
"LH",6146.561396,1617.78478512,"all",0.5,-0.286158496704227,0.0581428346686921,"high trophic"
"JSM",3924.6908692,2212.7706142,"all",0.5,-0.0974066433332743,0.329249933241038,"high trophic"
"SAP",23453.86698,2356.9977942,"all",0.4,-0.0155392392070117,0.321251788830849,"low trophic"
"JFS",7738.3752,617.97033836,"all",0.4,-0.113216697265809,0.250407193219311,"low trophic"
"JA",0,0,"all",0.4,-1,-1,"low trophic"
"SP",44539.9912,6829.971164,"all",0.4,0.020814660269227,0.401050644248117,"low trophic"
"PCM",2974.22729,534.92525408,"all",0.4,-0.25279393985319,0.00664738369979556,"low trophic"
"BS",1176.7655472,225.9793425,"all",0.4,0.133698117702111,0.421739789562504,"middle trophic"
"SYC",27173.57162,7798.440448,"all",0.4,-0.149869539520794,0.159549378621715,"middle trophic"
"WC",4616.961418,565.8349298,"all",0.4,-0.0624347430496466,0.179280512078365,"middle trophic"
"SC",3022.3313644,892.44745054,"all",0.4,-0.187623025089142,0.0775954027276618,"high trophic"
"CM",2380.9412712,596.86198344,"all",0.4,-0.0875451293519305,0.118356449390836,"high trophic"
"LH",7343.942618,1770.546808,"all",0.4,-0.14709856441642,0.158059734250596,"high trophic"
"JSM",3654.7944232,1827.06454212,"all",0.4,-0.159476943203087,0.0975495630025423,"high trophic"
"SAP",23880.68884,2262.5835792,"all",0.3,0.00237632982802162,0.268326431511136,"low trophic"
"JFS",7494.753712,560.48333596,"all",0.3,-0.141134633804432,0.134087433425758,"low trophic"
"JA",8280.6896046,822.448783126,"all",0.3,-0.176269433211133,0.0485713907767955,"low trophic"
"SP",47089.59354,6622.203518,"all",0.3,0.0792491452434569,0.358430699406104,"low trophic"
"PCM",3429.196228,561.2187805,"all",0.3,-0.138493479765569,0.0561277725523586,"low trophic"
"BS",1142.0952366,215.02450982,"all",0.3,0.100296675961323,0.352817907868137,"middle trophic"
"SYC",32161.14934,8747.181806,"all",0.3,0.0061677971633055,0.300617642138911,"middle trophic"
"WC",5304.09823,615.969711,"all",0.3,0.0771019659189763,0.283768530284258,"middle trophic"
"SC",3716.727044,1006.0964787,"all",0.3,-0.00097537015981416,0.214822160667953,"high trophic"
"CM",2842.2843184,678.24046722,"all",0.3,0.0892566740143072,0.270837516542199,"high trophic"
"LH",5404.6805812,1286.2159826,"all",0.3,-0.372318104000717,-0.158726031829018,"high trophic"
"JSM",5296.9413312,2571.6623662,"all",0.3,0.218181053115418,0.544842473346797,"high trophic"
"SAP",25093.57784,2210.376421,"all",0.2,0.0532865540872303,0.239060896629744,"low trophic"
"JFS",8530.791588,596.70307182,"all",0.2,-0.022409311538203,0.207374799249883,"low trophic"
"JA",10249.2842308,966.92730948,"all",0.2,0.0195586493094868,0.232772586552881,"low trophic"
"SP",10416.337836,1321.0195818,"all",0.2,-0.761267344630597,-0.729015644180066,"low trophic"
"PCM",3644.977632,565.19139656,"all",0.2,-0.084283375084636,0.0636036274175783,"low trophic"
"BS",1333.0586258,237.602077426,"all",0.2,0.28427116042952,0.494863750916768,"middle trophic"
"SYC",36717.12786,9070.337798,"all",0.2,0.148702469134445,0.348667676273311,"middle trophic"
"WC",4914.933088,561.9773396,"all",0.2,-0.00192570689909239,0.171240745166039,"middle trophic"
"SC",3658.452294,978.53587692,"all",0.2,-0.0166391275083022,0.181543811610464,"high trophic"
"CM",3476.787506,785.14678302,"all",0.2,0.33241912869995,0.471150773329749,"high trophic"
"LH",6298.058258,1385.5718236,"all",0.2,-0.268564147482393,-0.0937404588383356,"high trophic"
"JSM",4212.99667,1936.5675404,"all",0.2,-0.0311025931129817,0.163329925512467,"high trophic"
"SAP",24503.48268,1986.5215472,"all",0.1,0.0285176948347566,0.113575563900724,"low trophic"
"JFS",7840.8645002,484.959664514,"all",0.1,-0.1014718803272,-0.0187278979460154,"low trophic"
"JA",9761.2644024,839.15300792,"all",0.1,-0.0289876516687342,0.0698682454666631,"low trophic"
"SP",45907.4769,5509.301066,"all",0.1,0.0521561449138969,0.130137978994861,"low trophic"
"PCM",3096.5958878,456.64950194,"all",0.1,-0.222051649862357,-0.140655590870705,"low trophic"
"BS",1292.0180664,204.39135764,"all",0.1,0.244732609142112,0.285919865881051,"middle trophic"
"SYC",39631.47866,9134.509894,"all",0.1,0.239878499368852,0.358209419207404,"middle trophic"
"WC",4165.568272,427.83203614,"all",0.1,-0.154099041838274,-0.108337156136612,"middle trophic"
"SC",3824.037382,914.1035716,"all",0.1,0.0278687363428518,0.103744322175019,"high trophic"
"CM",3051.1473632,651.29599056,"all",0.1,0.169299850564435,0.220350921509796,"high trophic"
"LH",7717.952394,1523.2032482,"all",0.1,-0.103662294354772,-0.00372001415048927,"high trophic"
"JSM",4301.824672,1765.3899254,"all",0.1,-0.0106740887636644,0.0605005441699393,"high trophic"
"SAP",27293.94974,2035.1488422,"all",0,0.145645728655275,0.140834350762067,"low trophic"
"JFS",9212.2246866,525.73994792,"all",0,0.0556798839519436,0.0637873241400631,"low trophic"
"JA",11254.799072,885.5261625,"all",0,0.119583327157112,0.128991152801804,"low trophic"
"SP",44996.4531,4881.1105274,"all",0,0.0312763372211153,0.00127553760489564,"low trophic"
"PCM",3266.997368,434.53789822,"all",0,-0.179242205173473,-0.18226624182497,"low trophic"
"BS",1116.9049254,166.1042621,"all",0,0.0760282832813012,0.0450381704402425,"middle trophic"
