"species","Biomass.sim","Yield.sim","target","F","Biochange","Yieldchange","Functional.group"
"SAP",25543.67504,1905.2396894,"high",0.9,0.0721790903295755,0.0680117537512127,"low trophic"
"JFS",8156.1418764,483.09101152,"high",0.9,-0.0653424984197412,-0.0225089485892053,"low trophic"
"JA",10450.57467,863.385111,"high",0.9,0.0395822337557976,0.100762679927939,"low trophic"
"SP",41409.62336,4555.934276,"high",0.9,-0.0509304231269123,-0.0654287552213336,"low trophic"
"PCM",3860.608446,516.33426868,"high",0.9,-0.0301111026705834,-0.0283380028950055,"low trophic"
"BS",1226.096053,187.3551527,"high",0.9,0.181223218775833,0.178737279373882,"middle trophic"
"SYC",36535.92068,7584.482598,"high",0.9,0.143033367349454,0.127736005977141,"middle trophic"
"WC",5290.090506,514.7236758,"high",0.9,0.0742574207382114,0.0727573856050806,"middle trophic"
"SC",2805.5895018,1058.07556388,"high",0.9,-0.245881395018241,0.277584873692754,"high trophic"
"CM",2122.4669438,705.04667168,"high",0.9,-0.186600978324949,0.321065027211831,"high trophic"
"LH",3807.5722122,1177.11247342,"high",0.9,-0.5578010375634,-0.230087252145764,"high trophic"
"JSM",3971.095906,2868.87627,"high",0.9,-0.0867344963215805,0.72338405341351,"high trophic"
"SAP",23906.47026,1775.5932816,"high",0.8,0.00345848810789786,-0.00466355746153464,"low trophic"
"JFS",7569.8209378,427.7087583,"high",0.8,-0.132532264353282,-0.134569938420467,"low trophic"
"JA",10472.967098,818.43232124,"high",0.8,0.0418097447831367,0.043450649993646,"low trophic"
"SP",44213.76812,4878.192136,"high",0.8,0.0133379344412664,0.000676880004012854,"low trophic"
"PCM",4411.3761,569.3686842,"high",0.8,0.108256576956767,0.0714646428429942,"low trophic"
"BS",1623.5254002,228.10081264,"high",0.8,0.564107391338749,0.435086932168721,"middle trophic"
"SYC",33032.37686,6875.399436,"high",0.8,0.0334243191662734,0.0223024971402448,"middle trophic"
"WC",3738.746756,357.50558792,"high",0.8,-0.240773585567476,-0.254907481688709,"middle trophic"
"SC",2830.1694462,1007.0328155,"high",0.8,-0.239274514942034,0.215952750744124,"high trophic"
"CM",2464.77059,753.896152348,"high",0.8,-0.0554189819465312,0.412595621001011,"high trophic"
"LH",5650.675518,1661.4342886,"high",0.8,-0.343749057964223,0.0866926206284989,"high trophic"
"JSM",3782.718038,2438.9441486,"high",0.8,-0.130057300044591,0.465116323355217,"high trophic"
"SAP",27053.59246,2017.6036998,"high",0.7,0.13555688868135,0.130999148184307,"low trophic"
"JFS",8403.5993876,481.64879309,"high",0.7,-0.0369849707221544,-0.0254271473879557,"low trophic"
"JA",12362.932994,977.6452918,"high",0.7,0.229816149208546,0.246437351895335,"low trophic"
"SP",44748.0678,4930.39733,"high",0.7,0.0255835800201357,0.0113858740730247,"low trophic"
"PCM",3975.834974,538.13315802,"high",0.7,-0.00116309311504061,0.0126841675003943,"low trophic"
"BS",1567.2671064,239.15653078,"high",0.7,0.509908046415752,0.504643530607917,"middle trophic"
"SYC",33982.26166,7051.214034,"high",0.7,0.0631416494355064,0.048444353223253,"middle trophic"
"WC",3763.426158,367.17434626,"high",0.7,-0.235761945273645,-0.234756413442733,"middle trophic"
"SC",3323.1338246,1159.81742634,"high",0.7,-0.106769881207769,0.400434194608521,"high trophic"
