"species","Biomass.sim","Yield.sim","target","F","Biochange","Yieldchange","Functional.group"
"SAP",22791.45481,2984.9284326,"low",0.9,-0.043343557761083,0.673248078894962,"low trophic"
"JFS",7791.1426426,844.066415414,"low",0.9,-0.107169783564123,0.70789219461479,"low trophic"
"JA",9799.972926,1415.4517482,"low",0.9,-0.025137079360496,0.804613537813624,"low trophic"
"SP",35389.84312,7336.604866,"low",0.9,-0.188898118113592,0.504977799654905,"low trophic"
"PCM",3537.313744,854.4683962,"low",0.9,-0.111331445634943,0.607978626786336,"low trophic"
"BS",922.2976536,133.29604922,"low",0.9,-0.111456724463666,-0.161373358861083,"middle trophic"
"SYC",35513.00504,7403.022356,"low",0.9,0.111031253081024,0.100754699617405,"middle trophic"
"WC",6124.35832,590.3128098,"low",0.9,0.243671987285997,0.230295897203486,"middle trophic"
"SC",3554.0374816,812.01586718,"low",0.9,-0.0447049413474265,-0.0195225893853741,"high trophic"
"CM",2932.3231922,592.88342948,"low",0.9,0.123762526779449,0.110901725176753,"high trophic"
"LH",5401.155786,1021.63793448,"low",0.9,-0.372727462167385,-0.331778324324179,"high trophic"
"JSM",4269.648942,1600.8816488,"low",0.9,-0.0180738053558204,-0.0383224491782468,"high trophic"
"SAP",23545.96536,2896.652764,"low",0.8,-0.0116734698087322,0.623763779276609,"low trophic"
"JFS",7546.31437458,798.23510165,"low",0.8,-0.135226011713602,0.61515666857436,"low trophic"
"JA",9333.5112858,1243.54531912,"low",0.8,-0.0715388562190035,0.58544346045177,"low trophic"
"SP",38438.7647,7293.047758,"low",0.8,-0.119019706308356,0.496042811093511,"low trophic"
"PCM",3722.814886,827.340147,"low",0.8,-0.0647285589179178,0.556927417531871,"low trophic"
"BS",1010.65821434,149.65137274,"low",0.8,-0.0263299958401136,-0.0584745099561152,"middle trophic"
"SYC",34418.3812,7144.259198,"low",0.8,0.0767857338624245,0.0622792299296111,"middle trophic"
"WC",5441.05058,511.6910311,"low",0.8,0.104912847057621,0.0664369225045932,"middle trophic"
"SC",3687.832516,806.141534,"low",0.8,-0.00874197362514174,-0.026615617019694,"high trophic"
"CM",3802.3656948,760.9338912,"low",0.8,0.457191380641137,0.425782422728439,"high trophic"
"LH",8909.499362,1660.7995098,"low",0.8,0.0347200667875355,0.086277431510022,"high trophic"
"JSM",4267.2065188,1494.4718002,"low",0.8,-0.0186355094563367,-0.102244702682538,"high trophic"
"SAP",25124.82244,3012.285566,"low",0.7,0.0545980257824054,0.688583545704044,"low trophic"
"JFS",8137.920952,786.44021208,"low",0.7,-0.0674305351329651,0.591290774297467,"low trophic"
"JA",9675.875142,1263.0223696,"low",0.7,-0.0374818408275574,0.610275496596827,"low trophic"
"SP",43633.68148,7913.424618,"low",0.7,0.0000428948513547471,0.623302411245408,"low trophic"
"PCM",3785.59667,812.7372544,"low",0.7,-0.0489560826080699,0.529447010656108,"low trophic"
"BS",1376.9227504,194.29811176,"low",0.7,0.326529939684229,0.222418622295329,"middle trophic"
"SYC",37163.77306,7768.406644,"low",0.7,0.162675850876702,0.155083655122502,"middle trophic"
"WC",4916.221372,459.60757162,"low",0.7,-0.00166409537364706,-0.042112418533962,"middle trophic"
"SC",3807.947638,882.5346222,"low",0.7,0.0235439499505414,0.0656260500887484,"high trophic"
"CM",2768.6415566,566.76258502,"low",0.7,0.0610343497154308,0.0619583920848868,"high trophic"
"LH",6937.200022,1292.3754706,"low",0.7,-0.194336316954289,-0.154697301832065,"high trophic"
"JSM",4168.106222,1555.4971816,"low",0.7,-0.0414264177129182,-0.0655856908394665,"high trophic"
"SAP",25474.46952,2913.148462,"low",0.6,0.0692742337902094,0.633010699466414,"low trophic"
"JFS",7704.9236134,701.31406656,"low",0.6,-0.117050099973763,0.419045703487558,"low trophic"
"JA",11639.05587974,1389.686430734,"low",0.6,0.157807689275011,0.77176434972626,"low trophic"
"SP",42801.95912,7311.418798,"low",0.6,-0.019019398505401,0.499811312718112,"low trophic"
"PCM",3449.68797,695.90481328,"low",0.6,-0.133345401857453,0.309586253872471,"low trophic"
"BS",912.8853932,130.5035441,"low",0.6,-0.120524513645795,-0.178942290595014,"middle trophic"
"SYC",33115.75088,6850.720158,"low",0.6,0.0360326915586032,0.0186329376096503,"middle trophic"
"WC",5339.009466,502.10888614,"low",0.6,0.0841913823094155,0.0464663688676305,"middle trophic"
"SC",3459.698894,742.6648884,"low",0.6,-0.0700623516283026,-0.103261184708575,"high trophic"
"CM",3545.808418,695.78376768,"low",0.6,0.358870208402235,0.303708873333872,"high trophic"
"LH",7981.741934,1439.6689846,"low",0.6,-0.0730266414009367,-0.0583571842429928,"high trophic"
"JSM",4133.6886534,1563.3276172,"low",0.6,-0.0493417083195678,-0.0608818114894095,"high trophic"
"SAP",23949.35712,2513.92143,"low",0.5,0.00525863606898367,0.409217774637367,"low trophic"
"JFS",7466.4515592,622.20186046,"low",0.5,-0.144377934353425,0.258969296193619,"low trophic"
"JA",11542.674528,1387.1493906,"low",0.5,0.148220049925196,0.76852978028395,"low trophic"
"SP",37621.77538,6235.639374,"low",0.5,-0.13774433226067,0.279133740460053,"low trophic"
"PCM",3675.1531372,716.08291728,"low",0.5,-0.0767024748524175,0.347558354543913,"low trophic"
"BS",911.44567222,126.525159442,"low",0.5,-0.121911543516721,-0.20397213493339,"middle trophic"
"SYC",34424.0461,7083.400416,"low",0.5,0.0769629613580557,0.0532301433433473,"middle trophic"
"WC",4574.367736,440.64946914,"low",0.5,-0.0710842319219383,-0.0816238018424311,"middle trophic"
"SC",3408.85578,773.2275556,"low",0.5,-0.0837285484037074,-0.0663579590341809,"high trophic"
"CM",2130.7621526,397.14170614,"low",0.5,-0.183421981948954,-0.255864838594805,"high trophic"
"LH",7310.930188,1364.1835866,"low",0.5,-0.150932519881989,-0.107729841070081,"high trophic"
"JSM",3964.392266,1492.2361006,"low",0.5,-0.0882761874078695,-0.103587726457789,"high trophic"
"SAP",21575.24956,2208.4437432,"low",0.4,-0.0943929794498993,0.237977504016154,"low trophic"
"JFS",8103.754848,646.71474628,"low",0.4,-0.0713458183498709,0.308568907782154,"low trophic"
"JA",10706.2259762262,1169.63210907468,"low",0.4,0.0650134243248795,0.491208683716585,"low trophic"
"SP",43837.86294,6755.03136,"low",0.4,0.00472254166105539,0.385678037519198,"low trophic"
"PCM",3948.832839,689.44145524,"low",0.4,-0.0079467572205845,0.297423204154298,"low trophic"
"BS",1425.0654204,214.92403726,"low",0.4,0.372910677538103,0.352185788866768,"middle trophic"
"SYC",33530.13938,6910.154372,"low",0.4,0.0489969161827599,0.0274702053136364,"middle trophic"
"WC",3744.476222,361.67796494,"low",0.4,-0.239610104269683,-0.246211654249302,"middle trophic"
"SC",2945.007594,663.87836661,"low",0.4,-0.208406997166514,-0.198392829296092,"high trophic"
"CM",3027.4350192,586.5004464,"low",0.4,0.160212501775534,0.0989417570569404,"high trophic"
"LH",7142.964156,1312.0412524,"low",0.4,-0.170439544551674,-0.141834524105864,"high trophic"
"JSM",4325.96019,1569.1146141,"low",0.4,-0.00512344568564011,-0.0574054614359395,"high trophic"
"SAP",24742.27054,2338.4974362,"low",0.3,0.0385406594283645,0.310881125285189,"low trophic"
"JFS",6916.6993672,505.01255765,"low",0.3,-0.207377084938308,0.0218473210663661,"low trophic"
"JA",12196.280894,1250.4565716,"low",0.3,0.213238251069085,0.594254880413288,"low trophic"
"SP",37097.76638,5165.597868,"low",0.3,-0.149754125143454,0.0596332029972386,"low trophic"
"PCM",3688.262818,598.14874234,"low",0.3,-0.0734089696878037,0.125624303484154,"low trophic"
"BS",1264.1932906,192.08636366,"low",0.3,0.217926168364677,0.208503499596628,"middle trophic"
"SYC",38683.3058,8076.155972,"low",0.3,0.210214727474678,0.20084287383208,"middle trophic"
"WC",5213.97113,502.2708248,"low",0.3,0.0587998771598517,0.0468038720789604,"middle trophic"
"SC",3433.1511568,753.27910366,"low",0.3,-0.0771981576789889,-0.0904449347872862,"high trophic"
"CM",3973.520922,778.09178008,"low",0.3,0.522783683393235,0.457931623413471,"high trophic"
"LH",6897.5544848,1183.5036522,"low",0.3,-0.198940619758819,-0.225906980398034,"high trophic"
"JSM",3028.826067,1089.701662,"low",0.3,-0.303436021413208,-0.345397190214481,"high trophic"
"SAP",23943.3142,2097.4792856,"low",0.2,0.00500498844551569,0.175774650682383,"low trophic"
"JFS",8081.7029082,549.84511664,"low",0.2,-0.0738728723505014,0.112561956982868,"low trophic"
"JA",0,0,"low",0.2,-1,-1,"low trophic"
"SP",38505.62418,5024.785886,"low",0.2,-0.11748734998041,0.0307480564333966,"low trophic"
"PCM",3978.192818,638.66431332,"low",0.2,-0.000570739150834705,0.201868401542798,"low trophic"
"BS",1443.8154602,213.4954884,"low",0.2,0.390974500768378,0.343198132149446,"middle trophic"
"SYC",37314.27978,7820.652694,"low",0.2,0.167384482813943,0.162852115395668,"middle trophic"
"WC",4445.435304,433.27021706,"low",0.2,-0.0972665102199621,-0.0970032132455653,"middle trophic"
"SC",3304.75957688,740.57844962,"low",0.2,-0.111708722777181,-0.105780477957763,"high trophic"
"CM",2532.883097,506.84736056,"low",0.2,-0.0293160328667006,-0.0503063852851672,"high trophic"
"LH",5391.756234,979.6004162,"low",0.2,-0.37381909534205,-0.359273760778006,"high trophic"
"JSM",4529.2876318,1675.6876302,"low",0.2,0.0416374341678422,0.00661480963379239,"high trophic"
"SAP",23363.08802,1933.4392594,"low",0.1,-0.0193496268118277,0.0838194615048837,"low trophic"
"JFS",7862.7423922,492.405645704,"low",0.1,-0.0989647714286002,-0.00366162718412027,"low trophic"
"JA",9882.0553134,863.15572806,"low",0.1,-0.0169718449748447,0.100470230849831,"low trophic"
"SP",43326.495,5285.807822,"low",0.1,-0.00699753002911753,0.084292199273015,"low trophic"
"PCM",3745.039356,555.79628524,"low",0.1,-0.0591451730336632,0.0459234671377797,"low trophic"
"BS",1347.4590816,192.80884158,"low",0.1,0.298144586341213,0.213048939877057,"middle trophic"
"SYC",33801.76616,6922.438146,"low",0.1,0.0574948126973985,0.0292966785173245,"middle trophic"
"WC",6183.651794,591.1446057,"low",0.1,0.255712698947471,0.232029478223737,"middle trophic"
"SC",2887.143642,618.637609,"low",0.1,-0.223960335505204,-0.253019275241962,"high trophic"
"CM",3169.4563366,616.61780956,"low",0.1,0.214639733713167,0.155373475382351,"high trophic"
