"species","Biomass.sim","Yield.sim","target","F","Biochange","Yieldchange","Functional.group"
"SAP",22360.65944,1650.1210582,"middle",0.9,-0.0614259122853047,-0.0749989646578329,"low trophic"
"JFS",8223.7627124,470.43324346,"middle",0.9,-0.0575934520460623,-0.0481207995954027,"low trophic"
"JA",12945.998518,1014.2553602,"middle",0.9,0.287817223695478,0.293112927476727,"low trophic"
"SP",41736.03536,4612.90736,"middle",0.9,-0.0434493674304352,-0.0537417108508191,"low trophic"
"PCM",4248.81263,550.4560307,"middle",0.9,0.0674162516894621,0.0358739261598958,"low trophic"
"BS",1204.5247868,313.1883113,"middle",0.9,0.160441420782528,0.970411449449623,"middle trophic"
"SYC",27647.448,10895.222108,"middle",0.9,-0.135044225028712,0.620009553130202,"middle trophic"
"WC",4241.08616,752.68700852,"middle",0.9,-0.138763642285003,0.568706833202997,"middle trophic"
"SC",4305.87713,972.1847792,"middle",0.9,0.157383164007126,0.173875109435109,"high trophic"
"CM",3587.157018,687.45248514,"middle",0.9,0.374716349556932,0.28809832379509,"high trophic"
"LH",5001.885506,909.105948,"middle",0.9,-0.419097404405659,-0.405382005271156,"high trophic"
"JSM",4438.942438,1680.571312,"middle",0.9,0.0208600087735029,0.00954852253876398,"high trophic"
"SAP",26357.33034,1988.6503862,"middle",0.8,0.106331740566072,0.114768917727275,"low trophic"
"JFS",7936.9787716,424.02451374,"middle",0.8,-0.0904576132712443,-0.142024674697339,"low trophic"
"JA",9477.40137,773.07857104,"middle",0.8,-0.057225234253567,-0.0143725797318597,"low trophic"
"SP",45853.73306,5154.756608,"middle",0.8,0.050924386705306,0.057409305715282,"low trophic"
"PCM",3484.08796,468.0748168,"middle",0.8,-0.124703197180153,-0.11915489853277,"low trophic"
"BS",797.957415,200.96979466,"middle",0.8,-0.231246341682544,0.264393242352796,"middle trophic"
"SYC",24714.1513,9254.357252,"middle",0.8,-0.226812981420594,0.37602951162524,"middle trophic"
"WC",3690.450676,600.2540145,"middle",0.8,-0.25058105904524,0.251014782432851,"middle trophic"
"SC",3686.377294,823.9822022,"middle",0.8,-0.00913312492645462,-0.00507370772041039,"high trophic"
"CM",2707.0451594,543.45859908,"middle",0.8,0.0374285878600843,0.0182930830258249,"high trophic"
"LH",6301.018012,1127.9898272,"middle",0.8,-0.268220411349517,-0.262216850962458,"high trophic"
"JSM",5670.4021172,2038.953999,"middle",0.8,0.304068893878745,0.224835258412976,"high trophic"
"SAP",24454.7549,1830.9997092,"middle",0.7,0.0264723780683803,0.0263953776632113,"low trophic"
"JFS",10111.5749824,542.7791707,"middle",0.7,0.158741418836488,0.0982646532421705,"low trophic"
"JA",10487.0039412,813.53255406,"middle",0.7,0.0432060749630097,0.0372037495278356,"low trophic"
"SP",44247.68984,4836.964007,"middle",0.7,0.0141153883236001,-0.00778035873237525,"low trophic"
"PCM",3266.961554,434.04595588,"middle",0.7,-0.179251202615574,-0.183192001948866,"low trophic"
"BS",1056.942762,230.26266918,"middle",0.7,0.0182606234941194,0.448688164158516,"middle trophic"
"SYC",27587.98008,9772.412392,"middle",0.7,-0.136904690444165,0.453059081791779,"middle trophic"
"WC",5198.330998,763.72144424,"middle",0.7,0.0556238392748158,0.591704167444941,"middle trophic"
"SC",3763.190138,826.0873508,"middle",0.7,0.0115135144784895,-0.00253182309510728,"high trophic"
"CM",3609.291097,696.396079152,"middle",0.7,0.383198855377279,0.30485617790804,"high trophic"
"LH",6046.673268,1114.30197372,"middle",0.7,-0.297759176638755,-0.271169651245336,"high trophic"
"JSM",5133.178129,1920.67953764,"middle",0.7,0.180519086020843,0.153785724919538,"high trophic"
"SAP",24122.2141,1795.2417132,"middle",0.6,0.0125141950002375,0.00635067660482862,"low trophic"
"JFS",8528.1311048,472.30634302,"middle",0.6,-0.0227141910533452,-0.0443307517273195,"low trophic"
"JA",11573.5231312,906.77051604,"middle",0.6,0.151288748138985,0.156076391171205,"low trophic"
